DE:64:59:3D:8E:63,ok,-63,3.52,8.92,14.13,3.52
F1:63:F2:BE:56:44,ok,-62,8.29,11.23,15.85,8.29
DB:6D:40:6D:A1:0F,ok,-80,10.84,15.06,14.13,10.84
FF:B4:7D:AB:1B:A2,ok,-63,8.50,11.09,10.00,8.50
FC:40:5D:54:A7:DD,ok,-79,7.62,10.21,11.22,7.62
EE:6F:EE:A7:34:31,ok,-52,2.64,3.58,3.98,2.64
DE:64:59:3D:8E:63,ok,-87,3.52,8.98,12.59,3.52
F1:63:F2:BE:56:44,ok,-62,8.29,11.01,15.85,8.29
DB:6D:40:6D:A1:0F,ok,-69,10.55,15.09,14.13,10.55
FF:B4:7D:AB:1B:A2,ok,-69,8.50,11.02,12.59,8.50
FC:40:5D:54:A7:DD,ok,-59,7.32,10.16,11.22,7.32
EE:6F:EE:A7:34:31,ok,-60,2.64,3.54,4.47,2.64
DE:64:59:3D:8E:63,ok,-63,3.52,8.90,12.59,3.52
F1:63:F2:BE:56:44,ok,-66,8.28,11.15,15.85,8.28
DB:6D:40:6D:A1:0F,ok,-69,10.55,15.05,14.13,10.55
FF:B4:7D:AB:1B:A2,ok,-81,8.50,11.02,12.59,8.50
FC:40:5D:54:A7:DD,ok,-60,7.32,10.15,11.22,7.32
EE:6F:EE:A7:34:31,ok,-49,2.64,3.63,4.47,2.64
DE:64:59:3D:8E:63,ok,-63,3.22,8.87,12.59,3.22
F1:63:F2:BE:56:44,ok,-62,8.30,11.07,14.13,8.30
DB:6D:40:6D:A1:0F,ok,-69,10.55,15.06,14.13,10.55
FF:B4:7D:AB:1B:A2,ok,-63,8.50,11.07,8.91,8.50
FC:40:5D:54:A7:DD,ok,-65,7.03,10.18,10.00,7.03
EE:6F:EE:A7:34:31,ok,-59,2.96,3.64,5.01,2.96
DE:64:59:3D:8E:63,ok,-63,3.52,8.89,12.59,3.52
F1:63:F2:BE:56:44,ok,-67,8.28,11.09,15.85,8.28
DB:6D:40:6D:A1:0F,ok,-69,10.84,15.12,14.13,10.84
FF:B4:7D:AB:1B:A2,ok,-82,8.50,11.09,11.22,8.50
FC:40:5D:54:A7:DD,ok,-60,7.62,10.23,11.22,7.62
