FF:B4:7D:AB:1B:A2,ok,-74,9.67,11.05,8.91,9.67
FC:40:5D:54:A7:DD,ok,-56,8.97,10.50,7.94,8.97
EE:6F:EE:A7:34:31,ok,-69,8.79,13.67,25.12,8.79
DE:64:59:3D:8E:63,ok,-89,3.52,10.11,17.78,3.52
F1:63:F2:BE:56:44,ok,-57,4.39,5.41,6.31,4.39
DB:6D:40:6D:A1:0F,ok,-63,7.44,10.75,14.13,7.44
FF:B4:7D:AB:1B:A2,ok,-74,9.67,10.96,7.08,9.67
FC:40:5D:54:A7:DD,ok,-56,9.01,10.46,7.94,9.01
DE:64:59:3D:8E:63,ok,-70,3.52,10.10,15.85,3.52
F1:63:F2:BE:56:44,ok,-53,4.39,5.37,5.01,4.39
DB:6D:40:6D:A1:0F,ok,-63,7.44,10.80,14.13,7.44
FF:B4:7D:AB:1B:A2,ok,-73,9.67,10.94,7.94,9.67
FC:40:5D:54:A7:DD,ok,-63,9.01,10.44,7.94,9.01
EE:6F:EE:A7:34:31,ok,-68,8.79,13.29,19.95,8.79
DE:64:59:3D:8E:63,ok,-70,3.52,10.02,15.85,3.52
F1:63:F2:BE:56:44,ok,-53,4.39,5.43,5.62,4.39
DB:6D:40:6D:A1:0F,ok,-63,7.43,10.70,14.13,7.43
FF:B4:7D:AB:1B:A2,ok,-60,9.67,10.97,7.94,9.67
FC:40:5D:54:A7:DD,ok,-64,9.01,10.42,7.94,9.01
EE:6F:EE:A7:34:31,ok,-74,8.79,13.26,25.12,8.79
DE:64:59:3D:8E:63,ok,-89,3.52,10.17,15.85,3.52
F1:63:F2:BE:56:44,ok,-53,4.39,5.40,5.62,4.39
DB:6D:40:6D:A1:0F,ok,-66,7.44,10.70,14.13,7.44
FF:B4:7D:AB:1B:A2,ok,-74,9.67,10.98,7.94,9.67
FC:40:5D:54:A7:DD,ok,-63,9.00,10.30,7.94,9.00
EE:6F:EE:A7:34:31,ok,-69,8.79,13.39,25.12,8.79
DE:64:59:3D:8E:63,ok,-89,3.52,10.17,17.78,3.52
F1:63:F2:BE:56:44,ok,-59,4.39,5.42,6.31,4.39
DB:6D:40:6D:A1:0F,ok,-63,7.44,10.62,12.59,7.44
FF:B4:7D:AB:1B:A2,ok,-60,9.67,11.02,7.08,9.67
FC:40:5D:54:A7:DD,ok,-64,9.00,10.41,7.94,9.00
DE:64:59:3D:8E:63,ok,-70,3.22,10.06,17.78,3.22
F1:63:F2:BE:56:44,ok,-59,4.39,5.43,5.62,4.39
DB:6D:40:6D:A1:0F,ok,-63,7.43,10.82,14.13,7.43
FF:B4:7D:AB:1B:A2,ok,-74,9.67,11.02,7.94,9.67
FC:40:5D:54:A7:DD,ok,-63,9.00,10.48,7.94,9.00
EE:6F:EE:A7:34:31,ok,-74,8.79,13.33,22.39,8.79
